,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label,Output
2808,172.17.237.22-172.17.237.23-5566-4420-6,172.17.237.23,4420.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2809,172.17.237.22-172.17.237.23-5566-4421-6,172.17.237.23,4421.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2810,172.17.237.22-172.17.237.23-5566-4422-6,172.17.237.23,4422.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,46.0,DDOS,DDOS
2811,172.17.237.22-172.17.237.23-5566-4423-6,172.17.237.23,4423.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,105.0,DDOS,DDOS
2812,172.17.237.22-172.17.237.23-5566-4424-6,172.17.237.23,4424.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2813,172.17.237.22-172.17.237.23-5566-4425-6,172.17.237.23,4425.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2814,172.17.237.22-172.17.237.23-5566-4426-6,172.17.237.23,4426.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2815,172.17.237.22-172.17.237.23-5566-4427-6,172.17.237.23,4427.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2816,172.17.237.22-172.17.237.23-5566-4428-6,172.17.237.23,4428.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2817,172.17.237.22-172.17.237.23-5566-4429-6,172.17.237.23,4429.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,87.0,DDOS,DDOS
2818,172.17.237.22-172.17.237.23-5566-4430-6,172.17.237.23,4430.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2819,172.17.237.22-172.17.237.23-5566-4431-6,172.17.237.23,4431.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2820,172.17.237.22-172.17.237.23-5566-4432-6,172.17.237.23,4432.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
2821,172.17.237.22-172.17.237.23-5566-4433-6,172.17.237.23,4433.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2822,172.17.237.22-172.17.237.23-5566-4434-6,172.17.237.23,4434.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
2823,172.17.237.22-172.17.237.23-5566-4435-6,172.17.237.23,4435.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2824,172.17.237.22-172.17.237.23-5566-4436-6,172.17.237.23,4436.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
2825,172.17.237.22-172.17.237.23-5566-4437-6,172.17.237.23,4437.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2826,172.17.237.22-172.17.237.23-5566-4438-6,172.17.237.23,4438.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2827,172.17.237.22-172.17.237.23-5566-4439-6,172.17.237.23,4439.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
2828,172.17.237.22-172.17.237.23-5566-4440-6,172.17.237.23,4440.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2829,172.17.237.22-172.17.237.23-5566-4441-6,172.17.237.23,4441.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
2830,172.17.237.22-172.17.237.23-5566-4442-6,172.17.237.23,4442.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
2831,172.17.237.22-172.17.237.23-5566-4443-6,172.17.237.23,4443.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2832,172.17.237.22-172.17.237.23-5566-4444-6,172.17.237.23,4444.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2833,172.17.237.22-172.17.237.23-5566-4445-6,172.17.237.23,4445.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
